descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Amplo Apto 3 Quartos melhor localização;Rua Martim AfonsoCuritibaParaná;['177'];[3];[2];[1];490000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-126m2-venda-RS490000-id-2524811083/
Apartamento Mobiliado com 3 suítes - 128 m2 priv. no Portão - Curitiba - Paraná;Rua Engenheiro Niepce da SilvaCuritibaParaná;['178'];[3];[5];[2];1270000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-128m2-venda-RS1270000-id-2493769819/
Apartamento para venda possui 904 metros quadrados com 5 quartos em Vila Izabel - Curitiba - Paraná;Rua Coronel Ottoni MacielCuritibaParaná;['645'];[5];[7];[4];3350000;3300;https://www.vivareal.com.br/imovel/apartamento-5-quartos-vila-izabel-bairros-curitiba-com-garagem-904m2-venda-RS3350000-id-2528944603/
Lindo e ensolarado apartamento no Batel;Rua Desembargador MottaCuritibaParaná;['108'];[3];[2];[2];850000;1100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-90m2-venda-RS850000-id-2483297019/
AP com 52,65m área privativa e 60,25 de área total 3 quartos na CIC - Fazendinha - Curitiba - PR;Rua João DembinskiCuritibaParaná;['6025'];[3];[1];[1];179000;359;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-5000m2-venda-RS179000-id-2537687990/
Apartamento para venda tem 43 metros quadrados com 2 quartos em Bigorrilho - Curitiba - Paraná;Rua Padre AnchietaCuritibaParaná;['85'];[2];[1];[1];265000;425;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-43m2-venda-RS265000-id-2519779311/
4 vagas de garagem, 3 suítes, 132 m2, a poucos metros da Justiça Federal no Ahú - Curitiba-PR;Rua Fausto Nascimento BittencourtCuritibaParaná;['231'];[3];[5];[4];1799000;1100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ahu-bairros-curitiba-com-garagem-132m2-venda-RS1799000-id-2501098374/
Apartamento para venda com 60 metros quadrados com 3 quartos em Xaxim - Curitiba - Paraná;Rua Francisco DerossoCuritibaParaná;[];[3];[2];[1];290000;400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-xaxim-bairros-curitiba-com-garagem-60m2-venda-RS290000-id-2534729252/
Apartamento para venda com 53 metros quadrados com 2 quartos em Capão Raso - Curitiba - Paraná;Rua Francisco RaitaniCuritibaParaná;[];[2];[1];[1];350000;350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-capao-raso-bairros-curitiba-com-garagem-53m2-venda-RS350000-id-2531047980/
Apartamento para venda possui 71 metros quadrados com 2 quartos;Rua Cristiano StrobelCuritibaParaná;['138'];[2];[2];[2];455000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boqueirao-bairros-curitiba-com-garagem-71m2-venda-RS455000-id-2535721382/
Apartamento para venda com 30 metros quadrados com 1 quarto em Rebouças - Curitiba - Paraná;Rua Conselheiro LaurindoCuritibaParaná;['44'];[1];[1];[];250000;250;https://www.vivareal.com.br/imovel/apartamento-1-quartos-reboucas-bairros-curitiba-30m2-venda-RS250000-id-2532190120/
Apartamento para venda tem 89 metros quadrados com 3 quartos em Vila Izabel - Curitiba - Paraná;Rua GuararapesCuritibaParaná;['138'];[3];[3];[1];360000;560;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-izabel-bairros-curitiba-com-garagem-89m2-venda-RS360000-id-2516118616/
Apartamento para venda tem 42 metros quadrados com 1 quarto em Cristo Rei - Curitiba - Paraná;Rua José de AlencarCuritibaParaná;['55'];[1];[1];[1];185650;433;https://www.vivareal.com.br/imovel/apartamento-1-quartos-cristo-rei-bairros-curitiba-com-garagem-42m2-venda-RS185650-id-2533466489/
Studio de alto padrão para INVESTIDORES;Rua Nicolau MaederCuritibaParaná;[];[1];[1];[];300000;198;https://www.vivareal.com.br/imovel/apartamento-1-quartos-juveve-bairros-curitiba-25m2-venda-RS300000-id-2515160482/
Apartamento mobiliado para venda com 56m 2 quartos - Curitiba;Rua Jacob WellnerCuritibaParaná;['1'];[2];[1];[1];358000;400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vista-alegre-bairros-curitiba-com-garagem-56m2-venda-RS358000-id-2527966455/
Apartamento para venda com 52 metros quadrados com 2 quartos em Capão Raso - Curitiba - Paraná;Rua Marechal Octávio Saldanha MazzaCuritibaParaná;['68'];[2];[1];[1];250000;450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-capao-raso-bairros-curitiba-com-garagem-52m2-venda-RS250000-id-2525451378/
Apartamento para venda tem 89 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Rua Brigadeiro FrancoCuritibaParaná;['114'];[3];[2];[2];1250000;750;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-89m2-venda-RS1250000-id-2521778077/
Apartamento para venda possui 121 metros quadrados com 2 quartos em Vila Izabel - Curitiba - Paraná;Rua Professor Dario VelosoCuritibaParaná;[];[2];[2];[2];1300000;1000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-121m2-venda-RS1300000-id-2515153879/
Apartamento para venda com 32 metros quadrados com 1 quarto em Portão - Curitiba - Paraná;Rua Capitão Tenente Maris de BarrosCuritibaParaná;[];[1];[1];[1];235000;335;https://www.vivareal.com.br/imovel/apartamento-1-quartos-portao-bairros-curitiba-com-garagem-32m2-venda-RS235000-id-2522705273/
Apartamento para venda com 52 metros quadrados com 2 quartos em Novo Mundo - Curitiba - Paraná;Rua Athaide CardonCuritibaParaná;[];[2];[1];[1];265000;320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-52m2-venda-RS265000-id-2505500801/
Apartamento de 117 metros quadrados no bairro Cabral com 4 quartos;Rua Doutor Manoel PedroCuritibaParaná;[];[3];[4];[2];1050000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-117m2-venda-RS1050000-id-2427697835/
Excelente localização, pronto para morar;Rua Carneiro LoboCuritibaParaná;['201'];[4];[3];[2];1250000;930;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-150m2-venda-RS1250000-id-2536043485/
Apartamento para venda possui 92 metros quadrados com 3 quartos;Rua ParaguassuCuritibaParaná;['113'];[3];[3];[2];759000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-gloria-bairros-curitiba-com-garagem-92m2-venda-RS759000-id-2530685808/
Apartamento para venda com 54 metros quadrados com 2 quartos em Água Verde - Curitiba - Paraná;Rua Coronel DulcídioCuritibaParaná;['67'];[2];[1];[];215000;345;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-54m2-venda-RS215000-id-2518442439/
Apartamento para venda tem 77 metros quadrados com 2 quartos em Cabral - Curitiba - Paraná;Rua Doutor Manoel PedroCuritibaParaná;['91'];[2];[2];[1];435000;560;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabral-bairros-curitiba-com-garagem-77m2-venda-RS435000-id-2534858787/
Apartamento para venda tem 44 metros quadrados com 2 quartos em Bairro Alto - Curitiba - Paraná;Rua Rio JaguaribeCuritibaParaná;['44'];[2];[1];[1];118000;250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bairro-alto-bairros-curitiba-com-garagem-44m2-venda-RS118000-id-2530925595/
Apartamento para venda tem 100 metros quadrados com 3 quartos em Bigorrilho - Curitiba - Paraná;Rua Gastão CâmaraCuritibaParaná;['100'];[3];[2];[1];400000;480;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-100m2-venda-RS400000-id-2535613090/
Apartamento mobiliado no Santa Cândida;;[];[2];[1];[1];220900;180;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-candida-bairros-curitiba-com-garagem-49m2-venda-RS220900-id-2519796716/
Apartamento para venda com 67 metros quadrados com 3 quartos em Novo Mundo - Curitiba - Paraná;Rua Mário Chalbaud BiscaiaCuritibaParaná;['115'];[3];[2];[1];360000;320;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS360000-id-2522878143/
Apartamento de 94 metros quadrados no bairro Ahú com 2 quartos;Rua Alberto FolloniCuritibaParaná;['160'];[2];[2];[2];950000;650;https://www.vivareal.com.br/imovel/apartamento-2-quartos-ahu-bairros-curitiba-com-garagem-94m2-venda-RS950000-id-2427784283/
Sofisticação e espaços amplos em apartamento todo reformado.;Rua Sete de AbrilCuritibaParaná;['186'];[3];[3];[2];985000;850;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-136m2-venda-RS985000-id-2501610271/
Apartamento para venda com 82 metros quadrados com 3 quartos em Portão - Curitiba - Paraná;Rua MaranhãoCuritibaParaná;[];[3];[2];[2];650000;500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-82m2-venda-RS650000-id-2525011851/
Apartamento para venda tem 91 metros quadrados com 3 quartos em Rebouças - Curitiba - Paraná;Avenida Presidente Getúlio VargasCuritibaParaná;['159'];[3];[2];[2];839000;560;https://www.vivareal.com.br/imovel/apartamento-3-quartos-reboucas-bairros-curitiba-com-garagem-91m2-venda-RS839000-id-2534600231/
Apartamento para venda com 102 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Avenida IguaçuCuritibaParaná;[];[3];[3];[2];650000;1000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-102m2-venda-RS650000-id-2477728884/
Apartamento para venda possui 133 metros quadrados com 4 quartos em Centro - Curitiba - Paraná;Rua João NegrãoCuritibaParaná;['154'];[4];[3];[];360000;550;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-133m2-venda-RS360000-id-2522002527/
Apartamento para venda tem 127 metros quadrados com 3 quartos em Bigorrilho - Curitiba - Paraná;Rua Saldanha MarinhoCuritibaParaná;[];[3];[3];[2];820000;1000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-127m2-venda-RS820000-id-2533483977/
OPORTUNIDADE - AP - 150 m², com 4 quartos em Alto da Glória - Curitiba - Paraná;Rua Campos SalesCuritibaParaná;['250'];[4];[4];[2];700000;871;https://www.vivareal.com.br/imovel/apartamento-4-quartos-alto-da-gloria-bairros-curitiba-com-garagem-169m2-venda-RS700000-id-2501613689/
Apartamento Duplex 100m² no Cristo Rei, 3 quartos, 2 vagas, 2 suítes, último andar...;Avenida Presidente Affonso CamargoCuritibaParaná;['156'];[3];[3];[2];399000;704;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-100m2-venda-RS399000-id-2537867877/
Apartamento para venda tem 62 metros quadrados com 3 quartos em Portão - Curitiba - Paraná;Rua João BettegaCuritibaParaná;[];[3];[2];[1];325000;450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-62m2-venda-RS325000-id-2525099224/
Apartamento para venda possui 79 metros quadrados com 2 quartos em Batel - Curitiba - Paraná;Rua Desembargador MottaCuritibaParaná;['110'];[2];[1];[1];450000;650;https://www.vivareal.com.br/imovel/apartamento-2-quartos-batel-bairros-curitiba-com-garagem-79m2-venda-RS450000-id-2472531192/
Apartamento para venda possui 195 metros quadrados com 3 quartos em Cristo Rei - Curitiba - Paraná;Rua Padre Germano MayerCuritibaParaná;['230'];[3];[4];[2];915000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-195m2-venda-RS915000-id-2501087111/
Apartamento para venda possui 37 metros quadrados com 1 quarto em Centro - Curitiba - Paraná;Rua Vinte e Quatro de MaioCuritibaParaná;[];[1];[1];[];255000;350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-37m2-venda-RS255000-id-2536388107/
Apartamento de 65 metros quadrados no bairro Pinheirinho com 3 quartos;Rua Lothario BoutinCuritibaParaná;['75'];[3];[1];[1];250000;335;https://www.vivareal.com.br/imovel/apartamento-3-quartos-pinheirinho-bairros-curitiba-com-garagem-65m2-venda-RS250000-id-2427761629/
Apartamento para venda com 97 metros quadrados com 2 quartos em Água Verde - Curitiba - Paraná;Rua Santa CatarinaCuritibaParaná;['97'];[2];[1];[1];300000;300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-65m2-venda-RS300000-id-2508121879/
APTO LINDO PARA VENDA - 159 M² - 3 QUARTOS - 2 GARAGENS - ALTO DA XV - CURITIBA;Rua Almirante TamandaréCuritibaParaná;[];[3];[3];[2];610000;440;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-159m2-venda-RS610000-id-2531208726/
Apartamento para venda possui 62 metros quadrados com 2 quartos em Vila Izabel - Curitiba - Paraná;Rua Professor Guido StraubeCuritibaParaná;['114'];[2];[2];[1];570000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-62m2-venda-RS570000-id-2503945389/
Apartamento para venda com 108 metros quadrados com 3 quartos em Cabral - Curitiba - Paraná;Rua dos FuncionáriosCuritibaParaná;['154'];[3];[3];[2];690000;750;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-108m2-venda-RS690000-id-2514881393/
Apartamento Santo Inácio - Curitiba - Paraná;Rua João Batista DallarmiCuritibaParaná;['106'];[3];[3];[2];520000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-77m2-venda-RS520000-id-2494695622/
2 quartos e perto do Shopping;Rua Professor Dario VelosoCuritibaParaná;['93'];[2];[1];[1];298000;220;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-60m2-venda-RS298000-id-2510610643/
Apartamento para venda tem 87 metros quadrados com 1 quarto em Bacacheri - Curitiba - Paraná;Avenida Nossa Senhora da LuzCuritibaParaná;['130'];[1];[2];[1];695000;650;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bacacheri-bairros-curitiba-com-garagem-87m2-venda-RS695000-id-2537026046/
Apartamento para venda com 48 metros quadrados com 2 quartos em Sítio Cercado - Curitiba - Paraná;Rua Tijucas do SulCuritibaParaná;['50'];[2];[1];[1];165000;296;https://www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairro-novo-b-bairros-curitiba-com-garagem-48m2-venda-RS165000-id-2507825183/
Permuto por imóvel em São Paulo Apartamento para venda tem 132m² 4 dorm e 1 suite.;Rua Jerônimo DurskiCuritibaParaná;[];[4];[3];[1];680000;1200;https://www.vivareal.com.br/imovel/apartamento-4-quartos-bigorrilho-bairros-curitiba-com-garagem-132m2-venda-RS680000-id-2488350712/
MORE NO CENTRO DE CURITIBA - Apartamentos e Studios;Rua Comendador MacedoCuritibaParaná;[];[1];[1];[];211000;300;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-26m2-venda-RS211000-id-2474178602/
Apartamento dúplex, face norte, 3 suites, 3 vagas, pronto para morar;Rua Paulo GorskiCuritibaParaná;['209'];[3];[4];[3];1780000;1432;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ecoville-bairros-curitiba-com-garagem-167m2-venda-RS1780000-id-2487917889/
Apartamento para venda tem 46metros quadrados com 2 quartos em Tatuquara - Curitiba - Paraná;Avenida Pero Vaz de CaminhaCuritibaParaná;[];[2];[1];[1];140000;325;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tatuquara-bairros-curitiba-com-garagem-46m2-venda-RS140000-id-2531115577/
Apartamento para venda possui 67 metros quadrados com 3 quartos em Xaxim - Curitiba - Paraná;Rua Francisco DerossoCuritibaParaná;['120'];[3];[2];[1];305000;350;https://www.vivareal.com.br/imovel/apartamento-3-quartos-xaxim-bairros-curitiba-com-garagem-67m2-venda-RS305000-id-2534488685/
Apartamento 1 Quarto | 50 m² total e 40 m² úteis | Centro - Curitiba;Rua Vinte e Quatro de MaioCuritibaParaná;['50'];[1];[1];[];210000;270;https://www.vivareal.com.br/imovel/apartamento-1-quartos-reboucas-bairros-curitiba-40m2-venda-RS210000-id-2519518957/
Apartamento para venda com 75 metros quadrados com 2 quartos em Jardim Botânico - Curitiba - Paraná;Rua Hildebrando de AraújoCuritibaParaná;['120'];[2];[1];[1];438314;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-75m2-venda-RS438314-id-2488882945/
Apartamento para venda com 65 metros quadrados com 2 quartos em Novo Mundo - Curitiba - Paraná;Rua João BonatCuritibaParaná;['77'];[2];[1];[1];240000;300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-65m2-venda-RS240000-id-2528969726/
Apartamento para venda tem 48 metros quadrados com 2 quartos em Alto Boqueirão - Curitiba - Paraná;Rua Satyrio Ferreira da CostaCuritibaParaná;[];[2];[1];[1];160000;300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS160000-id-2501223635/
Apartamento para venda com 51 metros quadrados com 3 quartos em Fazendinha - Curitiba - Paraná;Rua Juvenal CarvalhoCuritibaParaná;['70'];[3];[1];[1];250000;400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-51m2-venda-RS250000-id-2468277694/
Apartamento de 78 metros quadrados no bairro Capão Raso com 3 quartos;Rua José Clementino BettegaCuritibaParaná;['179'];[3];[2];[2];559990;530;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS559990-id-2430746551/
Apartamento de 158 metros quadrados no bairro Juvevê com 2 quartos;Rua Moyses MarcondesCuritibaParaná;['158'];[2];[3];[1];700000;550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-juveve-bairros-curitiba-com-garagem-158m2-venda-RS700000-id-2427452458/
Apartamento para venda com 112 metros quadrados com 3 quartos em Cristo Rei - Curitiba - Paraná;Rua Urbano LopesCuritibaParaná;['179'];[3];[3];[2];980000;700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-112m2-venda-RS980000-id-2505205279/
Apartamento para venda com 33 metros quadrados com 1 quarto em Champagnat - Curitiba - Paraná;Rua Padre Giacomo CusmanoCuritibaParaná;['46'];[1];[1];[];350000;470;https://www.vivareal.com.br/imovel/apartamento-1-quartos-champagnat-bairros-curitiba-33m2-venda-RS350000-id-2510093350/
Apartamento para venda tem 75 metros quadrados com 3 quartos em Cabral - Curitiba - Paraná;Rua da BandeiraCuritibaParaná;['114'];[3];[2];[1];480000;500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-75m2-venda-RS480000-id-2531807609/
Apartamento para venda tem 34 metros quadrados com 1 quarto em Prado Velho - Curitiba - Paraná;Rua IapóCuritibaParaná;['40'];[1];[1];[];240000;221;https://www.vivareal.com.br/imovel/apartamento-1-quartos-prado-velho-bairros-curitiba-34m2-venda-RS240000-id-2491595282/
Apartamento para venda possui 66 metros quadrados com 2 quartos em Mercês - Curitiba - Paraná;Rua Brigadeiro FrancoCuritibaParaná;[];[2];[2];[2];660000;800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-merces-bairros-curitiba-com-garagem-66m2-venda-RS660000-id-2525001082/
Apartamento para venda possui 5000 metros quadrados com 4 quartos em Boa Vista - Curitiba - Paraná;Rua Vicente GeronassoCuritibaParaná;['174932'];[4];[3];[4];1250000;;https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-vista-bairros-curitiba-com-garagem-5000m2-venda-RS1250000-id-2511835096/
Batel 100% Reformado!!;Rua Buenos AiresCuritibaParaná;['303'];[4];[5];[2];1045000;2064;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-197m2-venda-RS1045000-id-2502157528/
